Score,loss,acc,val_loss,val_acc
0.976700008,0.018421439,0.993854165,0.096733535,0.975083351
0.976700008,0.016059446,0.994666696,0.08924592,0.978083313
0.976700008,0.014755734,0.994750023,0.110080455,0.976750016
0.976700008,0.013873554,0.995166659,0.110963513,0.975250006
0.976700008,0.013551102,0.995625019,0.104279554,0.977916658
0.976700008,0.013391344,0.995458305,0.105647694,0.97633332
0.976700008,0.007521392,0.997500002,0.111035366,0.977166653
0.976700008,0.009117487,0.996979177,0.133244076,0.971750021
0.976700008,0.010467717,0.996541679,0.131267203,0.97299999
0.976700008,0.012044748,0.996187508,0.10641379,0.978999972
0.976700008,0.006764323,0.997874975,0.121952912,0.977083325
0.976700008,0.007340595,0.997916639,0.105314628,0.97966665
0.976700008,0.005520054,0.998041689,0.096190417,0.982666671
0.976700008,0.006776803,0.997854173,0.13066784,0.975499988
0.979700029,0.277273126,0.920458317,0.12621897,0.961250007
0.979700029,0.092492949,0.971812487,0.107408538,0.967416644
0.979700029,0.061065015,0.980770826,0.085000682,0.974166691
0.979700029,0.037129004,0.988145828,0.083185939,0.97483331
0.979700029,0.027648545,0.991187513,0.098566776,0.973500013
0.979700029,0.020458738,0.993395805,0.106120215,0.973249972
0.979700029,0.019665322,0.993645847,0.106452405,0.974666655
0.979700029,0.016144129,0.994437516,0.079793853,0.979583323
0.979700029,0.012239589,0.995833337,0.096892641,0.977166653
0.979700029,0.01816212,0.994125009,0.109643326,0.975916684
0.979700029,0.013066942,0.995395839,0.102292276,0.978999972
0.979700029,0.010589515,0.996958315,0.1105668,0.9745
0.979700029,0.008395301,0.99712503,0.099724918,0.981166661
0.979700029,0.012472568,0.996062517,0.128179014,0.973333359
0.979700029,0.01074828,0.996604145,0.103517622,0.978833318
0.979700029,0.003895578,0.998770833,0.115667619,0.980000019
0.979700029,0.008687816,0.997166693,0.111546695,0.978333354
0.979700029,0.01406478,0.995687485,0.118264809,0.977500021
0.979700029,0.010403485,0.996854186,0.100796709,0.980333328
0.979700029,0.005934027,0.998291671,0.112889859,0.978833318
0.979700029,0.0073582,0.997562528,0.122536094,0.97874999
0.979700029,0.003638162,0.998875022,0.124339789,0.97874999
0.979700029,0.003539733,0.998833358,0.117752078,0.980666637
0.979700029,0.009394304,0.997437477,0.124822129,0.977916658
0.979700029,0.005551316,0.998291671,0.143049508,0.977083325
0.979700029,0.005055135,0.99862498,0.115866302,0.980499983
0.979700029,0.002597512,0.999062479,0.144430008,0.976416647
0.979700029,0.011121096,0.996791661,0.127044896,0.976166666
0.979700029,0.010903203,0.996520817,0.108496012,0.980333328
0.979700029,0.003297538,0.998979151,0.127917637,0.977500021
0.979700029,0.003047959,0.999145806,0.111982323,0.982583344
0.979700029,0.004333286,0.998604178,0.115366703,0.980416656
0.979700029,0.004913968,0.998770833,0.161993681,0.975666642
0.979700029,0.010372892,0.996749997,0.110313834,0.980666637
